1,2,3,4,5,6,7,8
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
4,COMPLIANCE,Scrutinize loan applications and enforce constitutional processing procedures,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
9,MEMBER,Fully registered and paid joining fee,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
2,DIRECTOR,Members with excecutive capacity,LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
7,FINANCE,"Bank Signatories, Authorise disbursement transactions",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
5,LOAN_OFFICER,"Follow up on loan Applications, initiates Credit appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
8,STAFF,limited rights to access onboarding & view screens and initiate administrative transactions authorised by finance,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
6,TREASURER,"Final Scruitinizer, Authorise disbursement processing",MANAGER,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
3,CREDIT_COMMITTEE,"Review loan Applications, credit worthiness appraisal",LINE,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.953870,
1,STAFF_ADMIN,Admin,PROCESSOR,,2024-06-21 04:19:05.776503,2025-05-22 13:07:11.937579,
